1,Marina Mandarin,MM,Singapore,575,Deluxe,5 Star,219.7
2,Marina Mandarin,MM,Singapore,575,Premier,5 Star,279.5
3,Orchard Parade,OP,Singapore,350,Standard,3 Star,228
4,Orchard Parade,OP,Singapore,350,Deluxe,3 Star,248
5,Goodwood park,GP,Singapore,233,Standard,5 Star,260
6,Goodwood park,GP,Singapore,233,Deluxe,5 Star,300
7,Park Royal,PR,Singapore,531,Standard,4 Star,180
8,Park Royal,PR,Singapore,531,Deluxe,4 Star,240
9,Park Royal,PR,Singapore,531,Premier,4 Star,380
10,Hotel Taj Coromandel,HTC,Chennai,205,Standard,5 Star,465
11,Hotel Taj Coromandel,HTC,Chennai,205,Deluxe,5 Star,555
12,Hotel Taj Coromandel,HTC,Chennai,205,Premier,5 Star,750
13,Le Royal Meridian,LRM,Chennai,240,Standard,5 Star,218
14,Le Royal Meridian,LRM,Chennai,240,Deluxe,5 Star,390
15,Le Royal Meridian,LRM,Chennai,240,Premier,5 Star,480
16,Hotel Palm Groove,HPG,Chennai,91,Standard,3 Star,39
17,Hotel Palm Groove,HPG,Chennai,91,Deluxe,3 Star,51
18,Hotel Palm Groove,HPG,Chennai,91,Premier,3 Star,70
19,Hotel Palm Groove,HPG,Chennai,91,Suite,3 Star,150
20,The Trident,TT,Chennai,167,Standard,4 Star,285
21,The Trident,TT,Chennai,167,Deluxe,4 Star,315
22,The Trident,TT,Chennai,167,Premier,4 Star,330
23,The Trident,TT,Chennai,167,Suite,4 Star,400
24,Quest Grande Esplanade Manly,QGEM,Sydney,150,Standard,4 Star,300
25,Quest Grande Esplanade Manly,QGEM,Sydney,150,Deluxe,4 Star,340
26,Quay Grand Suites Sydney,QGEM,Sydney,220,Premier,5 Star,380
27,Quay Grand Suites Sydney,QGEM,Sydney,220,Suite,5 Star,450
28,Travelodge Manly Warringah,TMW,Sydney,175,Standard,3 Star,250.19
29,Travelodge Manly Warringah,TMW,Sydney,175,Deluxe,3 Star,275.59
30,Park Hyatt Sydney,PHS,Sydney,158,Standard,5 Star,393.7
31,Park Hyatt Sydney,PHS,Sydney,158,Deluxe,5 Star,406.4
32,Nikko Hotel,NH,KL,473,Deluxe,5 Star,157.29
33,Nikko Hotel,NH,KL,473,Premier,5 Star,182.25
34,Traders Hotel by Shangri-La,THSL,KL,571,Deluxe,4 Star,153.96
35,Traders Hotel by Shangri-La,THSL,KL,571,Premier,4 Star,156.04
36,The Gardens Hotel & Residences,TGHR,KL,627,Deluxe,5 Star,115.68
37,The Gardens Hotel & Residences,TGHR,KL,627,Premier,5 Star,153.96
38,Hotel Maya,HM,KL,207,Standard,5 Star,145.64
39,Hotel Maya,HM,KL,207,Deluxe,5 Star,187.25
40,Hotel Maya,HM,KL,207,Suite,5 Star,228.86
41,Gran Mahakam Hotel,GMH,Jakarta,155,Standard,5 Star,69
42,Gran Mahakam Hotel,GMH,Jakarta,155,Deluxe,5 Star,98
43,Gran Mahakam Hotel,GMH,Jakarta,155,Premier,5 Star,107
44,Ambhara Hotel,AH,Jakarta,200,Standard,4 Star,65
45,Ambhara Hotel,AH,Jakarta,200,Deluxe,4 Star,96
46,Aston Rasuna Hotel,ARH,Jakarta,223,Standard,4 Star,52
47,Aston Rasuna Hotel,ARH,Jakarta,223,Deluxe,4 Star,57
48,Aston Rasuna Hotel,ARH,Jakarta,223,Premier,4 Star,63
49,Jakarta Airport Hotel,JAH,Jakarta,82,Standard,3 Star,78
50,Jakarta Airport Hotel,JAH,Jakarta,82,Deluxe,3 Star,87